Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
2020-07-06,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,346XX,,Other,Web,2020-07-06,Closed with explanation,Yes,,3730948
2025-10-10,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",GA,30341,,,Web,2025-10-10,In progress,Yes,,16507707
2025-10-03,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,,Experian Information Solutions Inc.,TX,77449,,,Web,2025-10-03,In progress,Yes,,16351107
2025-10-14,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Problem with personal statement of dispute,,,"EQUIFAX, INC.",NC,27612,,,Web,2025-10-14,In progress,Yes,,16557837
2025-10-06,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Suttell, Hammer & White, P.S",CA,91606,,,Web,2025-10-06,Closed with explanation,Yes,,16383838
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",CA,91106,,,Web,2025-10-13,In progress,Yes,,16535825
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,,,"EQUIFAX, INC.",CA,90242,,,Web,2025-10-13,In progress,Yes,,16546268
2025-10-11,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,,Experian Information Solutions Inc.,IL,60201,,,Web,2025-10-11,In progress,Yes,,16524266
2025-10-14,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,,"EQUIFAX, INC.",GA,30008,,,Web,2025-10-14,In progress,Yes,,16557797
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,77578,,,Web,2025-10-13,In progress,Yes,,16554254
